K,Silhouette Values,Silhouette Mean
3,[0.32491168 0.37797116 0.28125591 ... 0.30652303 0.03767751 0.01452188],0.25198357009315403
5,[0.30632806 0.0360266  0.24481317 ... 0.18666164 0.1201786  0.07730729],0.24746932062659965
6,[0.30638074 0.03588191 0.27893815 ... 0.18668998 0.09118337 0.07325949],0.2399748270539519
8,[0.30695186 0.03480905 0.27013015 ... 0.18670786 0.24497603 0.03111223],0.23328351429909
4,[0.36286317 0.08450712 0.28091655 ... 0.25263325 0.03750773 0.01455077],0.22827000622237326
14,[0.35240864 0.06631845 0.24586632 ... 0.22594833 0.19584472 0.23421131],0.22153111706870224
7,[0.30662062 0.03536158 0.2702072  ... 0.18677528 0.08934261 0.03090383],0.21890277356645305
11,[0.35433616 0.14229329 0.28037828 ... 0.30002164 0.21606958 0.23387944],0.21869587837181473
9,[0.30691768 0.03484066 0.27597587 ... 0.18673301 0.21624903 0.03046371],0.21853159283715556
12,[0.35431285 0.14236134 0.24562652 ... 0.30002351 0.21019891 0.23453999],0.21429380822756666
16,[0.10988501 0.06007518 0.25030802 ... 0.22767181 0.19527337 0.09598009],0.21345779540399745
10,[0.35446209 0.14214823 0.26526756 ... 0.29998143 0.21208192 0.02852794],0.211861656931735
13,[0.35435982 0.14229101 0.24627476 ... 0.30000407 0.2095919  0.09471305],0.21163501402732404
15,[0.35240228 0.06630554 0.08834905 ... 0.22596383 0.13769453 0.23789968],0.20678537047041157
19,[0.3657107  0.04496528 0.02772766 ... 0.22378256 0.13763142 0.10410107],0.20301073395621025
17,[0.10957498 0.06016776 0.25171338 ... 0.22767181 0.19407421 0.21019033],0.20274179083283148
20,[0.12829006 0.05991074 0.15048628 ... 0.22406536 0.13769453 0.09723878],0.19766756864586663
18,[0.12967987 0.05963167 0.10300101 ... 0.22397804 0.18967552 0.17703991],0.19537529256711347
