K,Silhouette Values,Silhouette Mean
13,[0.5043134  0.12129034 0.45559294 ... 0.40426007 0.1380777  0.3490722 ],0.32572881603266507
14,[0.50417607 0.12082551 0.44763077 ... 0.40426007 0.13071073 0.34978237],0.32295799661990787
15,[0.50416774 0.12082838 0.45427043 ... 0.40425578 0.13038552 0.2935939 ],0.32045896368468263
11,[0.50273279 0.1719601  0.45401635 ... 0.40623327 0.13984158 0.01273109],0.3164000648232619
16,[0.10999961 0.06828126 0.15511076 ... 0.41080052 0.10494506 0.30589472],0.3138979506382427
19,[0.12398628 0.06323589 0.29350041 ... 0.40821082 0.2473756  0.20905278],0.31237658398898527
12,"[ 0.50273279  0.1719601   0.45492702 ...  0.40623327  0.13336001
 -0.00064712]",0.310722112152686
17,[0.50418077 0.12088231 0.24497644 ... 0.40425734 0.10474545 0.29816393],0.3106060669485547
20,[0.12452963 0.06281076 0.17824792 ... 0.40821082 0.23572589 0.24283287],0.3091799749104676
18,[0.12408769 0.06358797 0.2355247  ... 0.40828609 0.11590653 0.30943957],0.3079939757297023
10,"[ 0.50999654  0.192864    0.46862177 ...  0.33267616 -0.03811265
  0.34794278]",0.30517645083993433
9,[0.5099828  0.19306861 0.23505974 ... 0.33269911 0.03868824 0.34759523],0.30415236886971847
6,"[ 0.346566   -0.00208442  0.37938087 ...  0.27389547  0.04559775
  0.13867976]",0.29881356594477476
8,[0.51001754 0.19294172 0.28636437 ... 0.33274968 0.03945984 0.03477355],0.29510911292961145
5,[0.2545575  0.32419337 0.3797917  ... 0.15945115 0.045427   0.13691226],0.29200734041582244
7,"[ 0.34713224 -0.00079244  0.28211807 ...  0.27380276  0.03979335
  0.03528181]",0.2917740451215436
4,[0.21570664 0.29049923 0.39892645 ... 0.11881474 0.1371333  0.19215464],0.2687557507282339
3,[0.26427766 0.34028793 0.29227394 ... 0.21802252 0.09490452 0.08324287],0.26727154297297634
